input_img,output,flag,username,timestamp
/Users/acabrera/dev-research/22-zeno/zeno/flagged/input_img/tmpaehiovwt.png,/Users/acabrera/dev-research/22-zeno/zeno/flagged/output/tmpco7jbkmd.png,,,2023-02-11 16:18:32.708614
/Users/acabrera/dev-research/22-zeno/zeno/flagged/input_img/tmp0m02q9u5.png,/Users/acabrera/dev-research/22-zeno/zeno/flagged/output/tmpp6wmfuzg.png,,,2023-02-11 16:18:34.317828
/Users/acabrera/dev-research/22-zeno/zeno/flagged/input_img/tmp7y9x2onk.png,/Users/acabrera/dev-research/22-zeno/zeno/flagged/output/tmp00a9z448.png,,,2023-02-11 16:18:34.520787
,,,,2023-02-11 16:18:49.320711
